Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-01-20 08:00:00,2,1015,12,131,6
2020-01-20 09:00:00,2,1016,12,148,5
2020-01-20 10:00:00,3,1016,14,183,6
2020-01-20 11:00:00,3,1015,14,218,6
2020-01-20 12:00:00,3,1015,16,254,6
2020-01-20 13:00:00,3,1014,16,261,9
2020-01-20 14:00:00,2,1013,16,269,12
2020-01-20 15:00:00,2,1013,16,277,15
2020-01-20 16:00:00,2,1013,16,274,14
2020-01-20 17:00:00,2,1013,16,270,13
2020-01-20 18:00:00,2,1013,16,266,12
2020-01-20 19:00:00,3,1013,14,265,11
2020-01-20 20:00:00,3,1014,14,264,10
2020-01-20 21:00:00,4,1014,12,263,8
2020-01-20 22:00:00,3,1014,12,275,8
2020-01-20 23:00:00,3,1014,12,287,8
2020-01-21 00:00:00,2,1014,12,298,8
2020-01-21 01:00:00,2,1014,12,273,8
2020-01-21 02:00:00,2,1013,12,247,8
2020-01-21 03:00:00,1,1013,12,222,8
2020-01-21 04:00:00,2,1013,12,153,9
2020-01-21 05:00:00,2,1013,10,85,9
2020-01-21 06:00:00,3,1013,8,16,9
2020-01-21 07:00:00,2,1014,10,55,10
