"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
9.72188621745121,1014,3,92,10,2021-02-01 08:00:00
9.72188621745121,1014,3,128,10,2021-02-01 09:00:00
11.7218862174512,1014,3,193,12,2021-02-01 10:00:00
11.7218862174512,1013,3,258,13,2021-02-01 11:00:00
13.7218862174512,1013,2,323,15,2021-02-01 12:00:00
13.7218862174512,1012,2,317,18,2021-02-01 13:00:00
11.7218862174512,1011,2,311,20,2021-02-01 14:00:00
11.7218862174512,1010,1,305,23,2021-02-01 15:00:00
11.7218862174512,1010,1,308,22,2021-02-01 16:00:00
9.72188621745121,1010,0,310,21,2021-02-01 17:00:00
7.72188621745121,1011,0,312,21,2021-02-01 18:00:00
5.72188621745121,1011,0,317,18,2021-02-01 19:00:00
1.72188621745121,1011,0,322,16,2021-02-01 20:00:00
-0.278113782548786,1012,0,327,14,2021-02-01 21:00:00
-0.278113782548786,1012,0,333,13,2021-02-01 22:00:00
-0.278113782548786,1012,0,340,13,2021-02-01 23:00:00
-0.278113782548786,1012,0,346,12,2021-02-02 00:00:00
3.72188621745121,1012,0,346,12,2021-02-02 01:00:00
7.72188621745121,1011,1,346,12,2021-02-02 02:00:00
11.7218862174512,1011,1,347,13,2021-02-02 03:00:00
9.72188621745121,1011,2,313,12,2021-02-02 04:00:00
9.72188621745121,1012,3,279,12,2021-02-02 05:00:00
7.72188621745121,1012,4,246,12,2021-02-02 06:00:00
7.72188621745121,1012,5,204,11,2021-02-02 07:00:00
