Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-02-10 08:00:00,0,1013,16,95,11
2020-02-10 09:00:00,0,1014,18,136,9
2020-02-10 10:00:00,0,1013,20,202,11
2020-02-10 11:00:00,0,1013,20,268,12
2020-02-10 12:00:00,0,1012,22,334,14
2020-02-10 13:00:00,0,1011,20,329,17
2020-02-10 14:00:00,0,1010,20,324,21
2020-02-10 15:00:00,0,1010,18,319,25
2020-02-10 16:00:00,0,1009,18,323,24
2020-02-10 17:00:00,0,1009,16,327,24
2020-02-10 18:00:00,0,1009,16,331,23
2020-02-10 19:00:00,0,1010,12,305,20
2020-02-10 20:00:00,0,1011,8,280,16
2020-02-10 21:00:00,0,1011,6,254,13
2020-02-10 22:00:00,0,1012,6,181,12
2020-02-10 23:00:00,0,1012,8,108,10
2020-02-11 00:00:00,0,1012,8,35,9
2020-02-11 01:00:00,0,1012,12,30,9
2020-02-11 02:00:00,0,1011,14,25,10
2020-02-11 03:00:00,0,1011,18,21,10
2020-02-11 04:00:00,0,1011,16,21,12
2020-02-11 05:00:00,0,1011,14,22,14
2020-02-11 06:00:00,0,1011,14,23,15
2020-02-11 07:00:00,0,1012,14,23,16
