Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-01-22 08:00:00,8,1015,6,97,15
2020-01-22 09:00:00,11,1016,8,138,13
2020-01-22 10:00:00,10,1015,10,207,14
2020-01-22 11:00:00,9,1015,10,276,15
2020-01-22 12:00:00,8,1014,12,345,15
2020-01-22 13:00:00,7,1013,12,337,19
2020-01-22 14:00:00,7,1013,12,330,22
2020-01-22 15:00:00,6,1012,12,322,25
2020-01-22 16:00:00,5,1012,10,325,24
2020-01-22 17:00:00,5,1012,10,328,24
2020-01-22 18:00:00,4,1013,8,331,23
2020-01-22 19:00:00,3,1013,6,335,21
2020-01-22 20:00:00,1,1014,4,339,19
2020-01-22 21:00:00,0,1014,2,344,16
2020-01-22 22:00:00,0,1014,2,347,15
2020-01-22 23:00:00,0,1014,2,351,15
2020-01-23 00:00:00,0,1014,2,354,14
2020-01-23 01:00:00,0,1014,4,314,15
2020-01-23 02:00:00,0,1014,6,274,15
2020-01-23 03:00:00,0,1013,8,234,16
2020-01-23 04:00:00,0,1013,8,157,15
2020-01-23 05:00:00,0,1013,8,80,15
2020-01-23 06:00:00,0,1013,6,4,14
2020-01-23 07:00:00,0,1014,8,44,14
