Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-02-01 08:00:00,11,1014,12,94,11
2020-02-01 09:00:00,13,1015,14,134,9
2020-02-01 10:00:00,10,1015,16,201,10
2020-02-01 11:00:00,7,1014,18,269,11
2020-02-01 12:00:00,4,1014,18,336,12
2020-02-01 13:00:00,2,1013,18,329,15
2020-02-01 14:00:00,1,1012,18,323,18
2020-02-01 15:00:00,0,1011,18,317,21
2020-02-01 16:00:00,0,1011,16,322,21
2020-02-01 17:00:00,0,1011,14,327,21
2020-02-01 18:00:00,0,1011,14,332,21
2020-02-01 19:00:00,0,1012,12,340,19
2020-02-01 20:00:00,0,1012,10,347,16
2020-02-01 21:00:00,0,1013,8,354,13
2020-02-01 22:00:00,0,1013,8,355,13
2020-02-01 23:00:00,0,1013,8,355,12
2020-02-02 00:00:00,0,1013,6,356,12
2020-02-02 01:00:00,0,1013,8,315,12
2020-02-02 02:00:00,0,1013,12,274,13
2020-02-02 03:00:00,0,1013,14,232,14
2020-02-02 04:00:00,1,1013,14,158,14
2020-02-02 05:00:00,1,1013,12,83,13
2020-02-02 06:00:00,2,1013,12,9,12
2020-02-02 07:00:00,2,1014,14,47,11
