Time,Temperature (C),Wind Direction (deg),Wind Speed (kmh),hour_of_day_sin,hour_of_day_cos,Load (kW)
2017-03-18 00:00:00,16.7643862174512,285.25,6.25375,0.0,1.0,1031471.62805707
2017-03-18 01:00:00,15.7293862174512,285.0,9.205,0.2588190451025207,0.9659258262890684,1007205.57843707
2017-03-18 02:00:00,15.8168862174512,316.0,11.28375,0.4999999999999999,0.8660254037844387,986108.40071707
2017-03-18 03:00:00,15.9193862174512,327.0,7.16875,0.7071067811865475,0.7071067811865476,970760.96691707
2017-03-18 04:00:00,15.7693862174512,282.25,0.78,0.8660254037844386,0.5000000000000001,962258.36501707
2017-03-18 05:00:00,15.7118862174512,162.75,0.45125,0.9659258262890684,0.2588190451025207,963847.92895707
2017-03-18 06:00:00,15.3743862174512,260.75,3.185,1.0,6.123233995736766e-17,971662.22283707
2017-03-18 07:00:00,13.5043862174512,231.75,3.985,0.9659258262890684,-0.2588190451025206,998667.46427707
2017-03-18 08:00:00,15.8318862174512,268.375,5.28125,0.8660254037844387,-0.4999999999999998,1060601.55717707
2017-03-18 09:00:00,19.3693862174512,289.375,7.13375,0.7071067811865476,-0.7071067811865475,1141662.50979707
2017-03-18 10:00:00,21.5943862174512,285.625,14.72375,0.4999999999999999,-0.8660254037844387,1195234.88093707
2017-03-18 11:00:00,22.3868862174512,279.375,16.63125,0.258819045102521,-0.9659258262890682,1208175.00293707
2017-03-18 12:00:00,21.3918862174512,270.75,13.36375,1.2246467991473532e-16,-1.0,1216409.31893707
2017-03-18 13:00:00,22.1293862174512,282.0,16.0625,-0.2588190451025208,-0.9659258262890684,1211771.52893707
2017-03-18 14:00:00,20.2318862174512,275.5,16.92375,-0.4999999999999998,-0.8660254037844388,1216184.22893707
2017-03-18 15:00:00,20.4668862174512,291.875,19.02125,-0.7071067811865471,-0.7071067811865479,1210429.86693707
2017-03-18 16:00:00,19.8368862174512,289.0,19.22875,-0.8660254037844384,-0.5000000000000004,1200877.59753707
2017-03-18 17:00:00,19.5618862174512,272.25,17.79125,-0.9659258262890684,-0.2588190451025206,1169031.23787707
2017-03-18 18:00:00,18.6193862174512,265.75,14.075,-1.0,-1.8369701987210294e-16,1150271.29025707
2017-03-18 19:00:00,17.8493862174512,270.0,14.98375,-0.9659258262890684,0.2588190451025203,1126710.73273707
2017-03-18 20:00:00,17.6993862174512,277.875,9.07875,-0.8660254037844386,0.5000000000000001,1109004.81507707
2017-03-18 21:00:00,17.2268862174512,277.875,10.22375,-0.7071067811865477,0.7071067811865474,1095988.83535707
2017-03-18 22:00:00,15.9618862174512,274.875,9.32,-0.5000000000000004,0.8660254037844384,1075547.20365707
2017-03-18 23:00:00,15.7618862174512,238.125,7.76875,-0.2588190451025215,0.965925826289068,1049039.52593707
2017-03-19 00:00:00,15.5043862174512,245.875,7.27375,0.0,1.0,1021744.29423707
2017-03-19 01:00:00,13.9743862174512,283.625,5.94,0.2588190451025207,0.9659258262890684,999585.88257707
2017-03-19 02:00:00,13.7518862174512,127.5,6.3325,0.4999999999999999,0.8660254037844387,977538.64483707
2017-03-19 03:00:00,13.9168862174512,131.0,0.94375,0.7071067811865475,0.7071067811865476,966271.96903707
2017-03-19 04:00:00,13.7518862174512,131.0,0.0,0.8660254037844386,0.5000000000000001,957773.50111707
2017-03-19 05:00:00,13.7218862174512,149.0,0.46,0.9659258262890684,0.2588190451025207,956473.46911707
2017-03-19 06:00:00,13.4718862174512,202.5,3.335,1.0,6.123233995736766e-17,941449.47333707
2017-03-19 07:00:00,12.2218862174512,192.625,4.5725,0.9659258262890684,-0.2588190451025206,935907.80933707
2017-03-19 08:00:00,13.9093862174512,138.875,5.66875,0.8660254037844387,-0.4999999999999998,960497.56691707
2017-03-19 09:00:00,17.3443862174512,131.75,7.99375,0.7071067811865476,-0.7071067811865475,987858.20059707
2017-03-19 10:00:00,21.4243862174512,262.375,13.54875,0.4999999999999999,-0.8660254037844387,1012382.68833707
2017-03-19 11:00:00,23.3543862174512,277.625,16.6975,0.258819045102521,-0.9659258262890682,1029778.86405707
2017-03-19 12:00:00,22.9768862174512,270.375,15.485,1.2246467991473532e-16,-1.0,1034794.90201707
2017-03-19 13:00:00,24.4693862174512,283.625,19.67,-0.2588190451025208,-0.9659258262890684,1026072.75617707
2017-03-19 14:00:00,24.5793862174512,281.375,20.49125,-0.4999999999999998,-0.8660254037844388,1026203.91615707
2017-03-19 15:00:00,23.5118862174512,284.25,16.74125,-0.7071067811865471,-0.7071067811865479,1025117.76215707
2017-03-19 16:00:00,22.6843862174512,289.5,18.985,-0.8660254037844384,-0.5000000000000004,1019965.67025707
2017-03-19 17:00:00,21.5743862174512,277.75,15.03375,-0.9659258262890684,-0.2588190451025206,1014069.37229707
2017-03-19 18:00:00,19.6193862174512,261.375,11.94125,-1.0,-1.8369701987210294e-16,1016996.68025707
2017-03-19 19:00:00,17.9718862174512,254.125,12.52,-0.9659258262890684,0.2588190451025203,1032056.24211707
2017-03-19 20:00:00,17.6018862174512,267.5,10.89,-0.8660254037844386,0.5000000000000001,1032000.93605707
2017-03-19 21:00:00,16.6368862174512,264.5,8.65375,-0.7071067811865477,0.7071067811865474,1025865.78619707
2017-03-19 22:00:00,15.8643862174512,243.375,13.605,-0.5000000000000004,0.8660254037844384,1016097.46435707
2017-03-19 23:00:00,15.6143862174512,249.75,12.46,-0.2588190451025215,0.965925826289068,1005315.68855707
2017-03-20 00:00:00,14.6393862174512,254.25,8.6475,0.0,1.0,987190.01881707
2017-03-20 01:00:00,13.8318862174512,253.625,11.2875,0.2588190451025207,0.9659258262890684,967204.13105707
2017-03-20 02:00:00,13.7293862174512,286.125,6.35125,0.4999999999999999,0.8660254037844387,950232.04531707
2017-03-20 03:00:00,13.7618862174512,321.0,5.41,0.7071067811865475,0.7071067811865476,940618.20343707
2017-03-20 04:00:00,13.7293862174512,341.375,5.675,0.8660254037844386,0.5000000000000001,938838.09147707
2017-03-20 05:00:00,13.7618862174512,266.75,6.78375,0.9659258262890684,0.2588190451025207,945081.54535707
2017-03-20 06:00:00,13.8518862174512,223.875,4.12625,1.0,6.123233995736766e-17,973593.41493707
2017-03-20 07:00:00,13.2693862174512,97.375,4.005,0.9659258262890684,-0.2588190451025206,1039951.76369707
2017-03-20 08:00:00,15.7168862174512,94.25,5.5775,0.8660254037844387,-0.4999999999999998,1155230.23375707
2017-03-20 09:00:00,18.8468862174512,76.0,8.33375,0.7071067811865476,-0.7071067811865475,1275774.73773707
2017-03-20 10:00:00,22.2418862174512,294.125,15.36375,0.4999999999999999,-0.8660254037844387,1333642.53313707
2017-03-20 11:00:00,22.7093862174512,289.75,15.37625,0.258819045102521,-0.9659258262890682,1344260.48533707
2017-03-20 12:00:00,22.7918862174512,263.875,13.365,1.2246467991473532e-16,-1.0,1337270.30533707
2017-03-20 13:00:00,24.5818862174512,269.625,17.79375,-0.2588190451025208,-0.9659258262890684,1321022.66533707
2017-03-20 14:00:00,25.3818862174512,263.75,18.81125,-0.4999999999999998,-0.8660254037844388,1325809.01333707
2017-03-20 15:00:00,24.2643862174512,244.75,16.9,-0.7071067811865471,-0.7071067811865479,1322490.78733707
2017-03-20 16:00:00,24.2543862174512,245.625,20.085,-0.8660254037844384,-0.5000000000000004,1321726.56533707
2017-03-20 17:00:00,21.8618862174512,253.875,16.82125,-0.9659258262890684,-0.2588190451025206,1289828.91413707
2017-03-20 18:00:00,19.6293862174512,242.375,13.865,-1.0,-1.8369701987210294e-16,1238524.57873707
2017-03-20 19:00:00,17.9718862174512,238.625,14.58875,-0.9659258262890684,0.2588190451025203,1194435.46759707
2017-03-20 20:00:00,17.6493862174512,230.75,14.55,-0.8660254037844386,0.5000000000000001,1151563.63249707
2017-03-20 21:00:00,16.9268862174512,228.0,12.73,-0.7071067811865477,0.7071067811865474,1116035.55501707
2017-03-20 22:00:00,15.9118862174512,222.0,9.81625,-0.5000000000000004,0.8660254037844384,1091370.07551707
2017-03-20 23:00:00,15.7618862174512,220.5,9.37,-0.2588190451025215,0.965925826289068,1061752.06595707
2017-03-21 00:00:00,15.7668862174512,219.5,9.14,0.0,1.0,1032739.17037707
2017-03-21 01:00:00,15.7618862174512,231.0,7.9975,0.2588190451025207,0.9659258262890684,1003462.01681707
2017-03-21 02:00:00,15.7618862174512,248.5,8.87,0.4999999999999999,0.8660254037844387,986411.58103707
2017-03-21 03:00:00,15.7618862174512,240.375,7.75,0.7071067811865475,0.7071067811865476,975442.36921707
2017-03-21 04:00:00,15.5043862174512,202.125,8.87,0.8660254037844386,0.5000000000000001,971071.48139707
2017-03-21 05:00:00,13.9743862174512,141.5,7.9975,0.9659258262890684,0.2588190451025207,973178.17933707
2017-03-21 06:00:00,13.7243862174512,131.0,8.31125,1.0,6.123233995736766e-17,990731.26097707
2017-03-21 07:00:00,13.9643862174512,135.25,4.1275,0.9659258262890684,-0.2588190451025206,1044374.83405707
