Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-01-28 08:00:00,14,1015,12,84,11
2020-01-28 09:00:00,16,1016,14,88,12
2020-01-28 10:00:00,15,1015,16,111,11
2020-01-28 11:00:00,14,1015,18,133,11
2020-01-28 12:00:00,14,1015,20,155,10
2020-01-28 13:00:00,12,1014,20,191,12
2020-01-28 14:00:00,10,1013,20,226,14
2020-01-28 15:00:00,9,1012,20,261,15
2020-01-28 16:00:00,9,1013,18,276,16
2020-01-28 17:00:00,9,1013,18,290,16
2020-01-28 18:00:00,9,1013,16,305,17
2020-01-28 19:00:00,9,1014,14,284,16
2020-01-28 20:00:00,10,1014,12,264,15
2020-01-28 21:00:00,10,1015,12,243,14
2020-01-28 22:00:00,9,1015,10,176,12
2020-01-28 23:00:00,7,1015,10,108,11
2020-01-29 00:00:00,6,1015,8,41,9
2020-01-29 01:00:00,6,1015,10,45,9
2020-01-29 02:00:00,7,1014,12,48,9
2020-01-29 03:00:00,7,1014,14,52,9
2020-01-29 04:00:00,8,1014,14,51,9
2020-01-29 05:00:00,8,1015,12,51,10
2020-01-29 06:00:00,9,1015,12,50,11
2020-01-29 07:00:00,11,1016,14,63,11
