Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-02-09 08:00:00,4,1015,16,98,9
2020-02-09 09:00:00,5,1016,18,139,8
2020-02-09 10:00:00,4,1015,18,200,9
2020-02-09 11:00:00,4,1015,20,261,11
2020-02-09 12:00:00,4,1015,20,322,13
2020-02-09 13:00:00,3,1014,20,320,16
2020-02-09 14:00:00,2,1013,20,318,18
2020-02-09 15:00:00,2,1012,18,316,21
2020-02-09 16:00:00,1,1012,18,320,20
2020-02-09 17:00:00,1,1012,20,324,20
2020-02-09 18:00:00,0,1012,20,328,19
2020-02-09 19:00:00,0,1012,18,333,17
2020-02-09 20:00:00,0,1012,18,339,15
2020-02-09 21:00:00,0,1013,16,345,13
2020-02-09 22:00:00,0,1013,16,348,12
2020-02-09 23:00:00,0,1013,14,352,11
2020-02-10 00:00:00,0,1013,14,356,10
2020-02-10 01:00:00,0,1012,14,315,11
2020-02-10 02:00:00,0,1012,14,275,12
2020-02-10 03:00:00,0,1011,16,234,13
2020-02-10 04:00:00,0,1011,14,161,13
2020-02-10 05:00:00,0,1012,14,87,13
2020-02-10 06:00:00,0,1012,14,14,13
2020-02-10 07:00:00,0,1012,16,55,12
