Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-02-02 08:00:00,3,1014,14,86,9
2020-02-02 09:00:00,4,1015,16,125,8
2020-02-02 10:00:00,3,1015,16,188,8
2020-02-02 11:00:00,2,1014,18,252,8
2020-02-02 12:00:00,1,1014,20,316,8
2020-02-02 13:00:00,1,1013,20,311,11
2020-02-02 14:00:00,0,1012,20,306,15
2020-02-02 15:00:00,0,1011,18,301,19
2020-02-02 16:00:00,0,1011,18,306,18
2020-02-02 17:00:00,0,1011,16,311,17
2020-02-02 18:00:00,0,1011,16,316,17
2020-02-02 19:00:00,0,1012,12,287,14
2020-02-02 20:00:00,0,1013,10,257,12
2020-02-02 21:00:00,0,1014,8,227,10
2020-02-02 22:00:00,0,1014,8,193,9
2020-02-02 23:00:00,0,1014,8,159,9
2020-02-03 00:00:00,0,1014,8,125,8
2020-02-03 01:00:00,0,1013,10,164,8
2020-02-03 02:00:00,0,1013,14,203,9
2020-02-03 03:00:00,0,1013,18,242,9
2020-02-03 04:00:00,0,1013,18,172,9
2020-02-03 05:00:00,1,1013,16,103,9
2020-02-03 06:00:00,1,1013,16,33,9
2020-02-03 07:00:00,2,1014,18,49,9
