Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-01-23 08:00:00,0,1015,8,84,13
2020-01-23 09:00:00,0,1015,10,124,12
2020-01-23 10:00:00,0,1015,12,196,12
2020-01-23 11:00:00,0,1014,14,269,11
2020-01-23 12:00:00,0,1014,14,341,11
2020-01-23 13:00:00,0,1013,14,331,15
2020-01-23 14:00:00,0,1012,12,322,18
2020-01-23 15:00:00,0,1012,12,312,22
2020-01-23 16:00:00,0,1012,10,316,21
2020-01-23 17:00:00,0,1012,8,319,20
2020-01-23 18:00:00,0,1012,8,322,19
2020-01-23 19:00:00,0,1013,6,326,17
2020-01-23 20:00:00,0,1014,2,331,15
2020-01-23 21:00:00,0,1014,0,335,13
2020-01-23 22:00:00,0,1014,0,337,13
2020-01-23 23:00:00,0,1014,2,340,12
2020-01-24 00:00:00,0,1014,2,343,12
2020-01-24 01:00:00,0,1014,4,308,12
2020-01-24 02:00:00,0,1013,6,274,13
2020-01-24 03:00:00,0,1013,8,240,14
2020-01-24 04:00:00,0,1014,6,167,13
2020-01-24 05:00:00,0,1014,6,94,13
2020-01-24 06:00:00,0,1014,6,21,12
2020-01-24 07:00:00,0,1015,6,56,12
