Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-01-26 08:00:00,6,1017,8,71,16
2020-01-26 09:00:00,6,1017,10,74,17
2020-01-26 10:00:00,6,1017,12,102,16
2020-01-26 11:00:00,6,1016,14,130,15
2020-01-26 12:00:00,6,1016,16,158,15
2020-01-26 13:00:00,6,1015,16,215,17
2020-01-26 14:00:00,5,1014,16,272,19
2020-01-26 15:00:00,5,1013,16,329,22
2020-01-26 16:00:00,5,1013,14,331,24
2020-01-26 17:00:00,4,1013,14,333,26
2020-01-26 18:00:00,4,1013,12,336,29
2020-01-26 19:00:00,5,1013,12,302,26
2020-01-26 20:00:00,5,1014,10,269,22
2020-01-26 21:00:00,6,1014,8,236,19
2020-01-26 22:00:00,7,1014,8,167,17
2020-01-26 23:00:00,8,1014,8,98,15
2020-01-27 00:00:00,9,1014,8,30,12
2020-01-27 01:00:00,9,1013,8,42,13
2020-01-27 02:00:00,9,1013,8,54,13
2020-01-27 03:00:00,10,1012,10,66,14
2020-01-27 04:00:00,12,1013,10,68,14
2020-01-27 05:00:00,14,1013,10,71,15
2020-01-27 06:00:00,17,1013,8,73,15
2020-01-27 07:00:00,20,1014,10,76,14
