Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-01-19 08:00:00,0,1015,12,110,10
2020-01-19 09:00:00,0,1016,14,112,10
2020-01-19 10:00:00,0,1015,14,131,10
2020-01-19 11:00:00,0,1015,16,150,10
2020-01-19 12:00:00,0,1015,18,169,10
2020-01-19 13:00:00,0,1014,16,196,12
2020-01-19 14:00:00,0,1013,16,222,14
2020-01-19 15:00:00,0,1013,16,249,16
2020-01-19 16:00:00,0,1013,16,257,14
2020-01-19 17:00:00,0,1013,14,264,13
2020-01-19 18:00:00,0,1014,14,272,11
2020-01-19 19:00:00,0,1014,12,252,9
2020-01-19 20:00:00,0,1015,10,233,8
2020-01-19 21:00:00,0,1016,8,213,6
2020-01-19 22:00:00,0,1016,8,162,6
2020-01-19 23:00:00,0,1015,8,111,5
2020-01-20 00:00:00,0,1015,8,60,5
2020-01-20 01:00:00,0,1015,10,76,5
2020-01-20 02:00:00,0,1015,12,92,5
2020-01-20 03:00:00,0,1014,16,109,5
2020-01-20 04:00:00,0,1014,14,105,5
2020-01-20 05:00:00,0,1014,14,101,6
2020-01-20 06:00:00,1,1014,12,98,6
2020-01-20 07:00:00,1,1015,12,114,6
