Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-02-14 08:00:00,0,1011,20,104,6
2020-02-14 09:00:00,0,1012,20,126,5
2020-02-14 10:00:00,0,1012,22,161,6
2020-02-14 11:00:00,0,1011,22,196,7
2020-02-14 12:00:00,0,1011,24,231,8
2020-02-14 13:00:00,0,1010,22,248,12
2020-02-14 14:00:00,0,1010,20,264,16
2020-02-14 15:00:00,0,1009,20,281,21
2020-02-14 16:00:00,0,1009,18,291,20
2020-02-14 17:00:00,1,1009,18,300,20
2020-02-14 18:00:00,1,1009,16,310,19
2020-02-14 19:00:00,2,1010,16,288,16
2020-02-14 20:00:00,3,1010,16,266,13
2020-02-14 21:00:00,4,1011,16,244,10
2020-02-14 22:00:00,4,1011,16,182,9
2020-02-14 23:00:00,4,1010,16,119,7
2020-02-15 00:00:00,5,1010,16,57,6
2020-02-15 01:00:00,5,1010,14,50,6
2020-02-15 02:00:00,6,1009,14,44,6
2020-02-15 03:00:00,7,1009,14,37,6
2020-02-15 04:00:00,6,1009,14,37,6
2020-02-15 05:00:00,6,1009,14,37,6
2020-02-15 06:00:00,6,1010,14,38,7
2020-02-15 07:00:00,6,1010,14,69,7
