Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-01-27 08:00:00,23,1015,10,78,13
2020-01-27 09:00:00,26,1016,12,81,12
2020-01-27 10:00:00,22,1015,14,109,11
2020-01-27 11:00:00,19,1015,14,138,10
2020-01-27 12:00:00,15,1015,16,166,10
2020-01-27 13:00:00,13,1014,16,216,13
2020-01-27 14:00:00,12,1013,16,265,16
2020-01-27 15:00:00,10,1012,16,315,19
2020-01-27 16:00:00,10,1012,16,322,20
2020-01-27 17:00:00,10,1012,14,329,21
2020-01-27 18:00:00,11,1012,14,336,22
2020-01-27 19:00:00,10,1013,12,306,20
2020-01-27 20:00:00,9,1013,12,276,18
2020-01-27 21:00:00,9,1014,10,247,15
2020-01-27 22:00:00,9,1013,10,179,12
2020-01-27 23:00:00,9,1013,8,111,9
2020-01-28 00:00:00,9,1013,8,44,6
2020-01-28 01:00:00,9,1012,10,46,6
2020-01-28 02:00:00,9,1012,10,48,7
2020-01-28 03:00:00,9,1012,12,51,7
2020-01-28 04:00:00,10,1012,12,59,8
2020-01-28 05:00:00,11,1012,12,67,9
2020-01-28 06:00:00,12,1013,12,75,10
2020-01-28 07:00:00,13,1014,12,79,10
