Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-02-06 08:00:00,3,1013,16,91,8
2020-02-06 09:00:00,4,1014,16,122,8
2020-02-06 10:00:00,4,1014,18,184,10
2020-02-06 11:00:00,3,1013,18,247,11
2020-02-06 12:00:00,3,1013,20,309,13
2020-02-06 13:00:00,3,1012,18,306,16
2020-02-06 14:00:00,2,1011,18,303,18
2020-02-06 15:00:00,2,1011,18,300,21
2020-02-06 16:00:00,1,1011,16,304,21
2020-02-06 17:00:00,1,1011,14,308,20
2020-02-06 18:00:00,0,1011,14,313,20
2020-02-06 19:00:00,0,1012,10,319,17
2020-02-06 20:00:00,0,1012,8,325,14
2020-02-06 21:00:00,0,1013,6,331,12
2020-02-06 22:00:00,1,1013,6,337,11
2020-02-06 23:00:00,1,1013,6,342,10
2020-02-07 00:00:00,2,1013,6,348,9
2020-02-07 01:00:00,2,1013,8,313,10
2020-02-07 02:00:00,3,1012,10,279,10
2020-02-07 03:00:00,4,1012,12,244,10
2020-02-07 04:00:00,4,1013,12,172,10
2020-02-07 05:00:00,3,1013,12,100,10
2020-02-07 06:00:00,3,1013,12,29,9
2020-02-07 07:00:00,3,1014,14,63,9
