"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
15.7218862174512,1012,0,38,9,2021-01-28 08:00:00
15.7218862174512,1013,0,48,8,2021-01-28 09:00:00
17.7218862174512,1012,0,80,8,2021-01-28 10:00:00
19.7218862174512,1012,0,112,8,2021-01-28 11:00:00
21.7218862174512,1011,0,144,8,2021-01-28 12:00:00
21.7218862174512,1011,0,199,10,2021-01-28 13:00:00
21.7218862174512,1010,0,253,13,2021-01-28 14:00:00
21.7218862174512,1009,0,308,16,2021-01-28 15:00:00
19.7218862174512,1009,0,313,18,2021-01-28 16:00:00
17.7218862174512,1009,0,317,20,2021-01-28 17:00:00
15.7218862174512,1009,0,322,22,2021-01-28 18:00:00
13.7218862174512,1010,0,327,19,2021-01-28 19:00:00
13.7218862174512,1010,0,332,17,2021-01-28 20:00:00
11.7218862174512,1011,0,337,14,2021-01-28 21:00:00
11.7218862174512,1011,0,230,11,2021-01-28 22:00:00
11.7218862174512,1011,0,122,8,2021-01-28 23:00:00
13.7218862174512,1011,0,15,5,2021-01-29 00:00:00
15.7218862174512,1011,0,16,5,2021-01-29 01:00:00
17.7218862174512,1011,0,17,5,2021-01-29 02:00:00
19.7218862174512,1010,0,18,5,2021-01-29 03:00:00
17.7218862174512,1011,0,20,6,2021-01-29 04:00:00
17.7218862174512,1011,0,23,6,2021-01-29 05:00:00
15.7218862174512,1011,0,25,7,2021-01-29 06:00:00
17.7218862174512,1012,0,60,7,2021-01-29 07:00:00
