"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
15.7218862174512,1015,0,53,7,2021-01-26 08:00:00
17.7218862174512,1015,0,65,6,2021-01-26 09:00:00
19.7218862174512,1015,0,95,6,2021-01-26 10:00:00
21.7218862174512,1014,0,125,6,2021-01-26 11:00:00
21.7218862174512,1014,0,155,6,2021-01-26 12:00:00
21.7218862174512,1013,0,204,10,2021-01-26 13:00:00
21.7218862174512,1012,0,253,14,2021-01-26 14:00:00
19.7218862174512,1011,0,303,17,2021-01-26 15:00:00
17.7218862174512,1011,0,309,18,2021-01-26 16:00:00
15.7218862174512,1011,0,316,18,2021-01-26 17:00:00
13.7218862174512,1011,0,323,18,2021-01-26 18:00:00
11.7218862174512,1011,0,296,16,2021-01-26 19:00:00
9.72188621745121,1012,0,270,13,2021-01-26 20:00:00
5.72188621745121,1012,0,243,11,2021-01-26 21:00:00
7.72188621745121,1012,0,169,9,2021-01-26 22:00:00
7.72188621745121,1012,0,95,8,2021-01-26 23:00:00
7.72188621745121,1012,0,21,7,2021-01-27 00:00:00
9.72188621745121,1012,0,16,8,2021-01-27 01:00:00
13.7218862174512,1012,0,11,9,2021-01-27 02:00:00
15.7218862174512,1011,0,7,10,2021-01-27 03:00:00
15.7218862174512,1011,0,11,10,2021-01-27 04:00:00
13.7218862174512,1012,0,15,11,2021-01-27 05:00:00
13.7218862174512,1012,0,20,11,2021-01-27 06:00:00
13.7218862174512,1012,0,25,10,2021-01-27 07:00:00
