"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
13.7218862174512,1014,0,70,13,2021-01-24 08:00:00
15.7218862174512,1015,0,76,13,2021-01-24 09:00:00
17.7218862174512,1014,0,105,12,2021-01-24 10:00:00
19.7218862174512,1014,0,135,12,2021-01-24 11:00:00
23.7218862174512,1014,0,164,11,2021-01-24 12:00:00
23.7218862174512,1013,0,218,11,2021-01-24 13:00:00
23.7218862174512,1012,0,271,12,2021-01-24 14:00:00
23.7218862174512,1012,0,325,13,2021-01-24 15:00:00
21.7218862174512,1012,0,327,15,2021-01-24 16:00:00
19.7218862174512,1012,0,330,18,2021-01-24 17:00:00
17.7218862174512,1012,0,332,21,2021-01-24 18:00:00
15.7218862174512,1012,0,298,19,2021-01-24 19:00:00
13.7218862174512,1013,0,265,18,2021-01-24 20:00:00
11.7218862174512,1013,0,231,16,2021-01-24 21:00:00
11.7218862174512,1013,0,160,15,2021-01-24 22:00:00
9.72188621745121,1014,0,88,14,2021-01-24 23:00:00
9.72188621745121,1014,0,17,12,2021-01-25 00:00:00
11.7218862174512,1013,0,28,11,2021-01-25 01:00:00
13.7218862174512,1013,0,39,10,2021-01-25 02:00:00
17.7218862174512,1013,0,50,9,2021-01-25 03:00:00
15.7218862174512,1013,0,58,10,2021-01-25 04:00:00
15.7218862174512,1014,0,67,11,2021-01-25 05:00:00
13.7218862174512,1014,0,76,12,2021-01-25 06:00:00
15.7218862174512,1015,0,77,12,2021-01-25 07:00:00
