Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-01-30 08:00:00,15,1017,14,71,8
2020-01-30 09:00:00,17,1017,16,83,8
2020-01-30 10:00:00,16,1017,18,111,8
2020-01-30 11:00:00,14,1017,18,140,9
2020-01-30 12:00:00,13,1016,20,169,9
2020-01-30 13:00:00,11,1015,20,214,13
2020-01-30 14:00:00,9,1014,20,259,16
2020-01-30 15:00:00,7,1014,20,305,20
2020-01-30 16:00:00,7,1013,18,315,21
2020-01-30 17:00:00,6,1013,18,325,22
2020-01-30 18:00:00,6,1013,16,335,23
2020-01-30 19:00:00,6,1014,14,304,20
2020-01-30 20:00:00,6,1014,14,274,17
2020-01-30 21:00:00,6,1015,14,244,14
2020-01-30 22:00:00,6,1015,12,206,13
2020-01-30 23:00:00,5,1014,10,169,12
2020-01-31 00:00:00,5,1014,10,131,11
2020-01-31 01:00:00,5,1014,10,166,12
2020-01-31 02:00:00,5,1013,12,200,13
2020-01-31 03:00:00,5,1013,14,235,14
2020-01-31 04:00:00,5,1013,12,163,14
2020-01-31 05:00:00,6,1013,12,90,13
2020-01-31 06:00:00,6,1014,12,18,13
2020-01-31 07:00:00,7,1014,12,57,12
