Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-02-13 08:00:00,1,1014,18,78,11
2020-02-13 09:00:00,0,1014,18,85,12
2020-02-13 10:00:00,0,1014,20,111,12
2020-02-13 11:00:00,0,1013,22,137,12
2020-02-13 12:00:00,1,1013,24,163,12
2020-02-13 13:00:00,0,1012,24,205,15
2020-02-13 14:00:00,0,1011,22,247,18
2020-02-13 15:00:00,0,1010,22,290,21
2020-02-13 16:00:00,0,1010,20,300,20
2020-02-13 17:00:00,0,1010,18,310,19
2020-02-13 18:00:00,0,1010,16,320,18
2020-02-13 19:00:00,0,1010,12,294,15
2020-02-13 20:00:00,0,1011,10,268,13
2020-02-13 21:00:00,0,1012,8,242,10
2020-02-13 22:00:00,0,1011,8,176,9
2020-02-13 23:00:00,0,1011,8,111,8
2020-02-14 00:00:00,0,1011,8,46,8
2020-02-14 01:00:00,0,1010,12,48,8
2020-02-14 02:00:00,0,1010,16,49,8
2020-02-14 03:00:00,0,1009,18,51,8
2020-02-14 04:00:00,0,1009,18,54,7
2020-02-14 05:00:00,0,1009,18,57,7
2020-02-14 06:00:00,0,1010,18,60,7
2020-02-14 07:00:00,0,1010,18,82,6
