Time,Load (kW),Pressure_kpa,Cloud Cover (%),Humidity (%),Temperature (C),Wind Direction (deg),Wind Speed (kmh)
2020-02-05 08:00:00,1201785.04813707,1014.5875,0.0,70.0833333333333,12.3268862174512,123.5,4.33125
2020-02-05 09:00:00,1291285.04813707,1014.9125,0.0,65.6666666666667,16.6243862174512,261.625,2.18125
2020-02-05 10:00:00,1347785.04813707,1014.85,0.0,59.75,21.6168862174512,137.875,6.0075
2020-02-05 11:00:00,1369785.04813707,1014.3875,0.0,56.75,24.7268862174512,24.25,8.725
2020-02-05 12:00:00,1366285.04813707,1013.475,0.0,54.25,26.2943862174512,283.0,9.75625
2020-02-05 13:00:00,1356785.04813707,1012.175,0.0,56.4166666666667,25.7293862174512,277.875,18.27875
2020-02-05 14:00:00,1379785.04813707,1011.1125,0.0,57.3333333333333,25.2018862174512,270.0,18.00125
2020-02-05 15:00:00,1377785.04813707,1010.35,0.0,59.6666666666667,24.3343862174512,266.0,19.42125
2020-02-05 16:00:00,1372785.04813707,1009.9375,0.0,60.4166666666667,23.4818862174512,272.0,18.44
2020-02-05 17:00:00,1350785.04813707,1009.9125,0.0,63.25,22.7218862174512,283.625,17.225
2020-02-05 18:00:00,1325285.04813707,1010.4125,0.0,67.0833333333333,20.5143862174512,286.625,14.2625
2020-02-05 19:00:00,1284285.04813707,1011.2,0.0,75.0,16.5968862174512,290.0,10.96625
2020-02-05 20:00:00,1238785.04813707,1011.8875,0.0,77.0,14.6268862174512,312.75,9.96875
2020-02-05 21:00:00,1199285.04813707,1012.3,0.0,77.5833333333333,13.3618862174512,339.5,8.9225
2020-02-05 22:00:00,1168285.04813707,1012.625,0.0,81.0,10.0918862174512,222.25,7.765
2020-02-05 23:00:00,1133785.04813707,1012.6625,0.0,82.4166666666667,8.44438621745121,13.375,6.21
2020-02-06 00:00:00,1097285.04813707,1012.3625,0.0,79.0,9.90688621745121,20.625,7.09
2020-02-06 01:00:00,1067785.04813707,1011.975,0.0,74.0833333333333,11.4368862174512,25.875,7.39375
2020-02-06 02:00:00,1049785.04813707,1011.7,0.125,74.9166666666667,10.3768862174512,34.625,4.5375
2020-02-06 03:00:00,1034785.04813707,1011.3,2.0,73.6666666666667,9.58188621745122,52.75,2.7575
2020-02-06 04:00:00,1029285.04813707,1010.9625,5.125,72.1666666666667,9.41188621745121,70.875,2.34875
2020-02-06 05:00:00,1039285.04813707,1011.0875,16.125,72.0,9.73438621745121,36.875,5.335
2020-02-06 06:00:00,1071785.04813707,1011.8125,33.75,72.75,9.04188621745122,44.125,3.645
2020-02-06 07:00:00,1137785.04813707,1013.0,52.125,72.4166666666667,9.30688621745122,24.875,5.5525
