Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-02-07 08:00:00,3,1015,14,97,9
2020-02-07 09:00:00,3,1016,16,131,9
2020-02-07 10:00:00,3,1016,16,194,11
2020-02-07 11:00:00,3,1015,16,257,13
2020-02-07 12:00:00,3,1015,18,321,15
2020-02-07 13:00:00,4,1014,18,319,18
2020-02-07 14:00:00,4,1014,16,317,20
2020-02-07 15:00:00,5,1013,16,315,23
2020-02-07 16:00:00,5,1013,16,318,23
2020-02-07 17:00:00,5,1014,16,321,22
2020-02-07 18:00:00,6,1014,16,324,22
2020-02-07 19:00:00,6,1015,14,291,19
2020-02-07 20:00:00,6,1015,14,259,17
2020-02-07 21:00:00,6,1016,14,227,14
2020-02-07 22:00:00,7,1016,14,195,12
2020-02-07 23:00:00,8,1016,14,163,11
2020-02-08 00:00:00,9,1016,14,131,9
2020-02-08 01:00:00,7,1015,14,169,10
2020-02-08 02:00:00,5,1015,14,207,10
2020-02-08 03:00:00,3,1014,14,244,11
2020-02-08 04:00:00,2,1015,14,169,11
2020-02-08 05:00:00,1,1015,14,94,12
2020-02-08 06:00:00,1,1015,14,19,12
2020-02-08 07:00:00,1,1016,14,55,11
