Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-02-05 08:00:00,2,1014,18,111,6
2020-02-05 09:00:00,3,1015,18,152,5
2020-02-05 10:00:00,2,1014,20,212,6
2020-02-05 11:00:00,2,1014,22,272,6
2020-02-05 12:00:00,2,1013,24,332,7
2020-02-05 13:00:00,1,1012,22,319,11
2020-02-05 14:00:00,1,1011,22,306,15
2020-02-05 15:00:00,0,1010,22,293,19
2020-02-05 16:00:00,0,1010,20,298,19
2020-02-05 17:00:00,0,1010,18,303,20
2020-02-05 18:00:00,0,1011,16,308,20
2020-02-05 19:00:00,0,1011,14,278,18
2020-02-05 20:00:00,0,1012,12,247,15
2020-02-05 21:00:00,0,1012,10,216,13
2020-02-05 22:00:00,0,1012,10,147,11
2020-02-05 23:00:00,0,1012,10,78,9
2020-02-06 00:00:00,1,1012,10,9,7
2020-02-06 01:00:00,1,1012,12,12,7
2020-02-06 02:00:00,1,1011,14,16,7
2020-02-06 03:00:00,1,1011,18,19,6
2020-02-06 04:00:00,1,1011,18,23,7
2020-02-06 05:00:00,1,1012,18,27,7
2020-02-06 06:00:00,1,1012,16,30,7
2020-02-06 07:00:00,2,1013,16,61,8
