Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-02-11 08:00:00,1,1013,14,23,16
2020-02-11 09:00:00,1,1013,16,24,17
2020-02-11 10:00:00,1,1013,18,53,17
2020-02-11 11:00:00,1,1013,18,82,18
2020-02-11 12:00:00,2,1012,20,111,19
2020-02-11 13:00:00,1,1011,20,181,21
2020-02-11 14:00:00,1,1010,18,250,23
2020-02-11 15:00:00,0,1009,18,320,26
2020-02-11 16:00:00,0,1009,18,326,25
2020-02-11 17:00:00,0,1009,16,331,25
2020-02-11 18:00:00,0,1009,16,336,24
2020-02-11 19:00:00,0,1010,14,305,21
2020-02-11 20:00:00,0,1011,14,274,18
2020-02-11 21:00:00,0,1011,12,243,15
2020-02-11 22:00:00,0,1011,12,176,13
2020-02-11 23:00:00,0,1012,10,109,11
2020-02-12 00:00:00,0,1012,10,42,8
2020-02-12 01:00:00,0,1011,12,49,9
2020-02-12 02:00:00,0,1011,14,57,9
2020-02-12 03:00:00,0,1011,16,64,9
2020-02-12 04:00:00,0,1011,16,62,9
2020-02-12 05:00:00,0,1011,14,59,9
2020-02-12 06:00:00,0,1011,14,57,9
2020-02-12 07:00:00,0,1012,16,60,9
