Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-01-31 08:00:00,8,1015,14,97,12
2020-01-31 09:00:00,9,1016,14,136,11
2020-01-31 10:00:00,8,1015,16,205,12
2020-01-31 11:00:00,7,1015,18,275,13
2020-01-31 12:00:00,6,1014,20,344,14
2020-01-31 13:00:00,5,1013,18,337,18
2020-01-31 14:00:00,4,1013,18,329,21
2020-01-31 15:00:00,3,1012,18,322,24
2020-01-31 16:00:00,3,1012,18,326,24
2020-01-31 17:00:00,2,1012,16,329,24
2020-01-31 18:00:00,2,1012,16,332,24
2020-01-31 19:00:00,2,1012,16,301,21
2020-01-31 20:00:00,3,1013,14,269,18
2020-01-31 21:00:00,3,1014,14,238,15
2020-01-31 22:00:00,3,1014,14,201,13
2020-01-31 23:00:00,3,1014,14,165,11
2020-02-01 00:00:00,3,1014,12,129,9
2020-02-01 01:00:00,3,1014,12,164,10
2020-02-01 02:00:00,4,1013,12,199,12
2020-02-01 03:00:00,4,1013,12,235,13
2020-02-01 04:00:00,5,1013,12,161,13
2020-02-01 05:00:00,7,1013,12,88,14
2020-02-01 06:00:00,8,1014,10,14,14
2020-02-01 07:00:00,10,1014,12,54,12
