"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
15.7218862174512,1013,0,31,8,2021-01-27 08:00:00
15.7218862174512,1013,0,37,6,2021-01-27 09:00:00
17.7218862174512,1013,0,65,6,2021-01-27 10:00:00
19.7218862174512,1012,0,93,6,2021-01-27 11:00:00
21.7218862174512,1012,0,121,6,2021-01-27 12:00:00
19.7218862174512,1011,0,184,10,2021-01-27 13:00:00
19.7218862174512,1011,0,247,13,2021-01-27 14:00:00
19.7218862174512,1010,0,310,17,2021-01-27 15:00:00
19.7218862174512,1010,0,314,18,2021-01-27 16:00:00
17.7218862174512,1010,0,317,18,2021-01-27 17:00:00
17.7218862174512,1010,0,320,19,2021-01-27 18:00:00
15.7218862174512,1011,0,290,17,2021-01-27 19:00:00
13.7218862174512,1011,0,259,16,2021-01-27 20:00:00
11.7218862174512,1012,0,229,14,2021-01-27 21:00:00
9.72188621745121,1012,0,162,12,2021-01-27 22:00:00
7.72188621745121,1012,0,96,9,2021-01-27 23:00:00
5.72188621745121,1012,0,29,6,2021-01-28 00:00:00
9.72188621745121,1012,0,24,7,2021-01-28 01:00:00
13.7218862174512,1011,0,19,7,2021-01-28 02:00:00
17.7218862174512,1011,0,14,8,2021-01-28 03:00:00
15.7218862174512,1011,0,15,9,2021-01-28 04:00:00
13.7218862174512,1011,0,16,10,2021-01-28 05:00:00
13.7218862174512,1011,0,18,11,2021-01-28 06:00:00
13.7218862174512,1012,0,28,10,2021-01-28 07:00:00
