Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-01-24 08:00:00,0,1015,8,92,12
2020-01-24 09:00:00,0,1016,8,127,12
2020-01-24 10:00:00,0,1016,8,196,13
2020-01-24 11:00:00,0,1016,10,264,14
2020-01-24 12:00:00,0,1015,10,333,15
2020-01-24 13:00:00,0,1015,10,327,18
2020-01-24 14:00:00,0,1014,10,321,21
2020-01-24 15:00:00,0,1013,10,315,23
2020-01-24 16:00:00,0,1013,8,319,23
2020-01-24 17:00:00,0,1014,8,322,23
2020-01-24 18:00:00,0,1014,8,325,23
2020-01-24 19:00:00,0,1014,6,294,20
2020-01-24 20:00:00,0,1015,4,263,18
2020-01-24 21:00:00,0,1016,2,232,15
2020-01-24 22:00:00,0,1016,2,198,14
2020-01-24 23:00:00,0,1015,2,164,12
2020-01-25 00:00:00,0,1015,0,130,10
2020-01-25 01:00:00,0,1015,4,167,11
2020-01-25 02:00:00,0,1014,6,205,11
2020-01-25 03:00:00,0,1014,8,242,11
2020-01-25 04:00:00,0,1014,8,173,11
2020-01-25 05:00:00,0,1014,8,103,10
2020-01-25 06:00:00,1,1014,6,34,10
2020-01-25 07:00:00,1,1015,6,37,10
