"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
17.7218862174512,1011,1,104,11,2021-02-14 08:00:00
19.7218862174512,1011,0,145,10,2021-02-14 09:00:00
21.7218862174512,1011,0,209,12,2021-02-14 10:00:00
21.7218862174512,1011,0,274,14,2021-02-14 11:00:00
23.7218862174512,1010,0,339,15,2021-02-14 12:00:00
21.7218862174512,1009,0,334,19,2021-02-14 13:00:00
21.7218862174512,1009,0,329,23,2021-02-14 14:00:00
21.7218862174512,1008,0,325,26,2021-02-14 15:00:00
21.7218862174512,1008,0,328,26,2021-02-14 16:00:00
19.7218862174512,1008,0,331,26,2021-02-14 17:00:00
19.7218862174512,1008,0,334,26,2021-02-14 18:00:00
19.7218862174512,1009,0,338,24,2021-02-14 19:00:00
19.7218862174512,1009,0,342,22,2021-02-14 20:00:00
19.7218862174512,1010,1,346,20,2021-02-14 21:00:00
17.7218862174512,1010,1,309,18,2021-02-14 22:00:00
17.7218862174512,1011,2,272,17,2021-02-14 23:00:00
17.7218862174512,1011,3,235,15,2021-02-15 00:00:00
17.7218862174512,1011,3,160,13,2021-02-15 01:00:00
17.7218862174512,1010,3,84,12,2021-02-15 02:00:00
17.7218862174512,1010,3,9,10,2021-02-15 03:00:00
15.7218862174512,1010,3,14,11,2021-02-15 04:00:00
15.7218862174512,1011,3,19,11,2021-02-15 05:00:00
15.7218862174512,1011,3,24,11,2021-02-15 06:00:00
17.7218862174512,1012,3,62,11,2021-02-15 07:00:00
