Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-02-04 08:00:00,2,1014,20,74,8
2020-02-04 09:00:00,3,1015,20,89,8
2020-02-04 10:00:00,3,1015,22,113,8
2020-02-04 11:00:00,2,1014,22,137,8
2020-02-04 12:00:00,2,1014,24,161,8
2020-02-04 13:00:00,1,1013,24,204,12
2020-02-04 14:00:00,1,1013,24,248,16
2020-02-04 15:00:00,0,1012,22,291,20
2020-02-04 16:00:00,0,1012,20,298,19
2020-02-04 17:00:00,0,1012,18,306,19
2020-02-04 18:00:00,0,1012,16,313,18
2020-02-04 19:00:00,0,1012,14,289,14
2020-02-04 20:00:00,0,1013,12,266,10
2020-02-04 21:00:00,0,1014,8,242,6
2020-02-04 22:00:00,0,1014,10,174,6
2020-02-04 23:00:00,0,1013,10,106,5
2020-02-05 00:00:00,0,1013,10,38,4
2020-02-05 01:00:00,0,1013,14,30,5
2020-02-05 02:00:00,0,1012,18,21,6
2020-02-05 03:00:00,0,1012,22,13,6
2020-02-05 04:00:00,0,1012,20,19,7
2020-02-05 05:00:00,1,1012,18,25,7
2020-02-05 06:00:00,1,1013,18,31,8
2020-02-05 07:00:00,2,1013,18,71,7
