Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-01-25 08:00:00,2,1016,8,40,10
2020-01-25 09:00:00,3,1016,8,44,10
2020-01-25 10:00:00,2,1016,10,71,10
2020-01-25 11:00:00,2,1015,12,99,11
2020-01-25 12:00:00,2,1015,14,127,12
2020-01-25 13:00:00,1,1014,14,191,15
2020-01-25 14:00:00,1,1013,14,256,19
2020-01-25 15:00:00,0,1013,14,321,22
2020-01-25 16:00:00,0,1013,14,325,25
2020-01-25 17:00:00,0,1013,12,330,27
2020-01-25 18:00:00,0,1013,10,334,30
2020-01-25 19:00:00,0,1014,10,305,28
2020-01-25 20:00:00,0,1014,10,276,26
2020-01-25 21:00:00,1,1015,8,247,24
2020-01-25 22:00:00,1,1015,8,185,19
2020-01-25 23:00:00,1,1015,8,123,14
2020-01-26 00:00:00,2,1015,8,61,10
2020-01-26 01:00:00,2,1014,8,66,10
2020-01-26 02:00:00,2,1014,10,71,10
2020-01-26 03:00:00,3,1014,10,76,10
2020-01-26 04:00:00,3,1014,10,72,11
2020-01-26 05:00:00,4,1015,8,69,13
2020-01-26 06:00:00,4,1015,8,65,15
2020-01-26 07:00:00,5,1016,8,68,15
