Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-02-03 08:00:00,2,1015,18,64,9
2020-02-03 09:00:00,3,1016,18,80,9
2020-02-03 10:00:00,3,1015,20,106,9
2020-02-03 11:00:00,3,1015,24,131,9
2020-02-03 12:00:00,2,1015,26,157,9
2020-02-03 13:00:00,2,1014,26,197,11
2020-02-03 14:00:00,2,1013,26,237,13
2020-02-03 15:00:00,1,1012,26,277,15
2020-02-03 16:00:00,1,1012,24,288,15
2020-02-03 17:00:00,0,1012,22,299,15
2020-02-03 18:00:00,0,1013,20,309,15
2020-02-03 19:00:00,0,1013,16,285,13
2020-02-03 20:00:00,0,1014,14,262,12
2020-02-03 21:00:00,1,1014,12,238,10
2020-02-03 22:00:00,1,1014,12,167,9
2020-02-03 23:00:00,1,1014,12,96,8
2020-02-04 00:00:00,1,1014,12,25,7
2020-02-04 01:00:00,1,1014,14,26,7
2020-02-04 02:00:00,0,1013,18,27,6
2020-02-04 03:00:00,0,1013,22,28,6
2020-02-04 04:00:00,0,1013,20,34,7
2020-02-04 05:00:00,1,1013,20,39,8
2020-02-04 06:00:00,1,1013,18,45,8
2020-02-04 07:00:00,2,1014,18,60,8
