Time,Load (kW),Pressure_kpa,Cloud Cover (%),Humidity (%),Temperature (C),Wind Direction (deg),Wind Speed (kmh)
2020-01-19 08:00:00,980785.04813707,1015.25,0.0,77.25,5.09438621745121,68.0,6.09375
2020-01-19 09:00:00,1008785.04813707,1015.6375,0.0,69.0,9.38188621745121,58.375,7.74875
2020-01-19 10:00:00,1032285.04813707,1015.475,0.0,62.3333333333333,14.6293862174512,95.875,8.49875
2020-01-19 11:00:00,1037785.04813707,1015.25,0.125,58.75,17.9643862174512,121.0,10.04375
2020-01-19 12:00:00,1039785.04813707,1014.5625,1.0,59.8333333333333,19.1143862174512,139.0,14.19875
2020-01-19 13:00:00,1033785.04813707,1013.55,0.125,60.5,19.2918862174512,236.375,9.67
2020-01-19 14:00:00,1036285.04813707,1012.75,0.0,64.4166666666667,17.5168862174512,261.375,20.09
2020-01-19 15:00:00,1032285.04813707,1012.5,0.0,68.0,16.5793862174512,266.25,18.605
2020-01-19 16:00:00,1036285.04813707,1012.5625,0.0,71.0,15.8093862174512,269.875,16.6125
2020-01-19 17:00:00,1040785.04813707,1012.9375,0.0,69.9166666666667,15.2843862174512,249.25,15.46875
2020-01-19 18:00:00,1062285.04813707,1013.775,0.625,70.8333333333333,13.8218862174512,252.375,14.41625
2020-01-19 19:00:00,1065285.04813707,1014.7,1.625,73.8333333333333,11.5293862174512,254.625,7.9525
2020-01-19 20:00:00,1057785.04813707,1015.4,2.0,78.0833333333333,10.7793862174512,234.75,8.6525
2020-01-19 21:00:00,1046285.04813707,1015.825,2.875,81.6666666666667,9.40938621745121,217.0,8.21375
2020-01-19 22:00:00,1032285.04813707,1015.9875,3.0,82.0,8.93188621745121,266.0,6.28625
2020-01-19 23:00:00,1020285.04813707,1016.175,3.5,82.25,7.99188621745121,191.5,7.2675
2020-01-20 00:00:00,987785.04813707,1015.85,2.375,84.0833333333333,6.84938621745122,155.25,6.765
2020-01-20 01:00:00,971785.04813707,1015.2625,0.75,86.5,6.47688621745122,127.5,7.30625
2020-01-20 02:00:00,959785.04813707,1014.55,0.125,87.3333333333333,5.11688621745122,109.875,5.33875
2020-01-20 03:00:00,949285.04813707,1014.1125,3.0,87.5833333333333,4.65188621745121,96.625,2.48
2020-01-20 04:00:00,949785.04813707,1013.9125,6.375,87.8333333333333,4.25438621745121,82.0,2.485
2020-01-20 05:00:00,960785.04813707,1014.025,4.25,87.75,3.03938621745121,74.625,2.54875
2020-01-20 06:00:00,1003285.04813707,1014.6125,1.375,88.3333333333333,2.77688621745121,78.5,2.5875
2020-01-20 07:00:00,1068285.04813707,1015.475,0.625,87.8333333333333,3.11438621745121,86.0,2.705
