Time,Forecast_Cloud Cover (%),Forecast_Pressure_kpa,Forecast_Temperature (C),Forecast_Wind Direction (deg),Forecast_Wind Speed (kmh)
2020-01-21 08:00:00,2,1014,10,94,10
2020-01-21 09:00:00,1,1015,12,133,11
2020-01-21 10:00:00,1,1015,12,201,12
2020-01-21 11:00:00,0,1014,14,269,12
2020-01-21 12:00:00,0,1014,14,337,13
2020-01-21 13:00:00,0,1013,14,330,16
2020-01-21 14:00:00,0,1012,12,322,19
2020-01-21 15:00:00,0,1012,12,315,22
2020-01-21 16:00:00,0,1012,10,320,22
2020-01-21 17:00:00,0,1012,10,326,22
2020-01-21 18:00:00,0,1012,8,332,22
2020-01-21 19:00:00,0,1013,6,338,21
2020-01-21 20:00:00,0,1013,4,343,19
2020-01-21 21:00:00,0,1014,2,349,17
2020-01-21 22:00:00,0,1014,2,350,17
2020-01-21 23:00:00,0,1014,2,352,17
2020-01-22 00:00:00,0,1014,0,353,17
2020-01-22 01:00:00,0,1014,2,315,17
2020-01-22 02:00:00,0,1013,4,277,18
2020-01-22 03:00:00,0,1013,6,239,18
2020-01-22 04:00:00,1,1013,6,165,18
2020-01-22 05:00:00,3,1013,6,90,17
2020-01-22 06:00:00,4,1014,6,15,17
2020-01-22 07:00:00,6,1014,6,56,16
